,kepid,kepoi_name,kepler_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_prad,koi_steff,koi_srad,koi_teq
1386,5513012,K02668.01,Kepler-1310 b,CONFIRMED,0.679336747,1.2188,240.7,1.4,5440.0,0.913,1883.0
1387,11253827,K02672.01,Kepler-396 c,CONFIRMED,88.5122014,6.8214,2518.7,4.7,5593.0,0.945,390.0
1388,7047363,K02432.01,Kepler-1236 b,CONFIRMED,31.0572947,3.401,636.6,1.85,5395.0,0.734,480.0
1389,11968463,K02433.01,Kepler-385 c,CONFIRMED,15.1622287,7.332,479.8,3.12,6325.0,1.112,829.0
1390,11968463,K02433.02,Kepler-385 b,CONFIRMED,10.04378351,5.548,437.9,2.94,6325.0,1.112,951.0
1391,9880190,K02509.01,Kepler-1263 b,CONFIRMED,4.5513988,2.457,188.7,1.13,5009.0,0.84,907.0
1392,5364071,K00248.02,Kepler-49 c,CONFIRMED,10.91274065,2.1801,1387.2,2.13,3834.0,0.539,443.0
1393,10387742,K02583.01,Kepler-1998 b,CONFIRMED,3.03267135,1.774,42.4,0.6,5640.0,0.921,1187.0
1394,7673841,K02585.01,Kepler-392 b,CONFIRMED,5.34182466,3.577,70.5,0.95,5767.0,1.135,1125.0
1395,9827149,K02586.01,Kepler-1282 b,CONFIRMED,2.131945045,1.8061,269.4,1.66,5845.0,1.013,1418.0
1396,5546691,K02587.01,Kepler-1283 b,CONFIRMED,12.9462567,9.568,168.7,1.13,6058.0,0.867,764.0
1397,12156347,K02588.01,Kepler-1687 b,CONFIRMED,5.77957133,2.5213,396.6,1.5,4102.0,0.581,598.0
1398,8547429,K02658.01,Kepler-1866 b,CONFIRMED,11.6601667,5.882,181.0,2.08,5791.0,1.083,834.0
1399,9893318,K02660.01,Kepler-1307 b,CONFIRMED,18.0161227,4.016,499.5,2.39,6245.0,1.065,768.0
1400,8570333,K02436.01,Kepler-1237 b,CONFIRMED,84.5733346,5.762,891.6,2.59,5418.0,0.888,366.0
1401,8478994,K00245.02,Kepler-37 c,CONFIRMED,21.30181863,3.8763,87.3,0.72,5437.0,0.781,564.0
1402,5036705,K02437.01,Kepler-1238 b,CONFIRMED,4.14789051,3.829,137.6,1.93,6150.0,1.417,1389.0
1403,9653622,K02513.01,Kepler-2002 b,CONFIRMED,19.0054098,1.843,542.4,28.47,6347.0,1.036,758.0
